#rname      startpos  endpos     numreads  covbases   coverage  meandepth   meanbaseq  meanmapq
KI270465.1  1         1774       945       1482       83.54     35.3811     28.2       27.1
KI270335.1  1         1048       564       1041       99.3321   34.6078     27.6       0.239
KI270310.1  1         1201       571       1032       85.9284   32.373      28.1       3.98
GL000220.1  1         161802     84477     135676     83.8531   32.3455     25.7       2.1
GL000216.2  1         176608     101101    166928     94.5189   31.5777     27.4       13.1
KI270521.1  1         7642       481       6367       83.3159   3.91992     27.8       30.2
KI270581.1  1         7046       422       6017       85.396    3.83225     27.7       0.118
GL000195.1  1         182896     10739     138255     75.5921   3.82594     27.7       20.8
KI270716.1  1         153799     8907      115933     75.3796   3.7703      27.8       4.91
KI270366.1  1         8320       485       7129       85.6851   3.75349     28.2       5.43
KI270718.1  1         38054      2179      29494      77.5056   3.66324     27.7       5.12
KI270363.1  1         1803       99        1532       84.9695   3.6112      27.5       16.3
KI270745.1  1         41891      2326      34657      82.7314   3.58912     26.9       3.03
KI270747.1  1         198735     11509     152549     76.76     3.56699     27.9       2.43
KI270390.1  1         2387       130       1891       79.2208   3.52953     27.5       0.354
KI270725.1  1         172810     9229      131236     75.9424   3.4939      27.9       12
KI270750.1  1         148850     7939      117973     79.2563   3.46249     27.7       22.6
KI270706.1  1         175055     9231      130786     74.7114   3.36051     27.2       8.88
KI270707.1  1         32032      1660      24594      76.7795   3.29161     27.4       9.62
KI270715.1  1         161471     7987      118353     73.2968   3.27703     27.9       0.64
KI270719.1  1         176845     8798      137290     77.633    3.23164     28         14
KI270382.1  1         4215       222       2836       67.2835   3.21447     27.6       0.554
KI270392.1  1         971        48        562        57.8785   3.04943     28.1       1.85
KI270389.1  1         1298       65        715        55.0847   3.02465     27.9       4.52
KI270312.1  1         998        48        524        52.505    3           27.1       6.38
MT          1         16569      66944     16553      99.9034   257.806     26.9       45.4
KI270338.1  1         1428       524       1340       93.8375   22.8088     27.4       0
KI270364.1  1         2855       138       2137       74.8511   2.97443     27.6       4.28
4           1         190214555  8655005   141824753  74.5604   2.91468     27.8       52.2
KI270714.1  1         41717      1986      31147      74.6626   2.91059     26         17.8
KI270311.1  1         12399      559       2375       19.1548   2.88394     27.8       2.44
KI270748.1  1         93321      4185      71476      76.5915   2.84919     27.2       1.8
3           1         198295559  8815969   146520334  73.8899   2.84671     27.7       53.1
5           1         181538259  8077797   133867914  73.7409   2.84635     27.7       51.6
10          1         133797422  5993823   97298369   72.7207   2.83605     27.5       50.1
GL000218.1  1         161147     7143      112369     69.7307   2.83003     27.5       8.74
7           1         159345973  7034528   117008956  73.4308   2.81573     27.6       50.2
6           1         170805979  7480873   126021993  73.7808   2.80309     27.7       53.2
18          1         80373285   3496308   57930969   72.0774   2.78594     27.7       50.6
12          1         133275309  5779409   98000501   73.5324   2.76382     27.5       52.5
2           1         242193529  10422047  176958061  73.0647   2.74646     27.6       53
20          1         64444167   2809261   45904932   71.2321   2.74087     27.2       49.3
8           1         145138636  6190858   105927629  72.9838   2.72466     27.6       53.7
1           1         248956422  10595569  167669167  67.3488   2.71529     27.5       47.7
KI270708.1  1         127682     5569      88875      69.6065   2.70577     27.4       12.9
X           1         156040895  6566653   113356858  72.6456   2.6983      27.7       50.9
KI270743.1  1         210658     9197      136042     64.5796   2.69771     27.1       2.79
KI270528.1  1         2983       140       2334       78.2434   2.69192     27.6       4.8
21          1         46709983   1967299   28858125   61.7815   2.66864     27.4       41.1
11          1         135086622  5634395   96968504   71.7825   2.65385     27.5       52.6
KI270418.1  1         2145       91        1088       50.7226   2.64056     28.4       0
19          1         58617616   2423014   40425585   68.9649   2.55532     26.7       46.7
KI270753.1  1         62944      2494      46346      73.6305   2.54509     27.2       8.05
17          1         83257441   3356144   57259137   68.7736   2.51128     27         49.6
KI270579.1  1         31033      1242      21017      67.7247   2.50849     27.9       0.873
16          1         90338345   3540573   58433587   64.683    2.46563     27.1       47.1
KI270374.1  1         2656       103       2102       79.1416   2.46047     28.1       1.28
KI270739.1  1         73985      2945      53261      71.9889   2.45486     27.9       6.93
13          1         114364328  4332123   72832863   63.6849   2.43372     27.8       53.2
KI270425.1  1         1884       77        1128       59.8726   2.40605     27.3       1.99
9           1         138394717  5198352   88949654   64.2724   2.3943      27.5       49.1
KI270712.1  1         176043     6707      117430     66.7053   2.36497     26.9       8.2
KI270754.1  1         40191      1532      23831      59.2944   2.35316     25.8       7.98
14          1         107043718  3855819   65947887   61.6084   2.29585     27.6       52.5
KI270717.1  1         40062      1411      28377      70.8327   2.27854     27.6       2.54
15          1         101991189  3595431   61044179   59.8524   2.24128     27.4       49.2
KI270582.1  1         6504       222       3929       60.409    2.18911     27.8       1.38
KI270728.1  1         1872759    62359     1145052    61.1425   2.14037     27.5       6.63
KI270734.1  1         165050     5914      92411      55.9897   2.12931     27.1       4.45
KI270379.1  1         1045       34        820        78.4689   2.12249     27.4       0
KI270385.1  1         990        36        570        57.5758   2.11111     27.9       4.5
KI270383.1  1         1750       57        1000       57.1429   2.09371     27.7       1.68
KI270373.1  1         1451       46        878        60.51     2.051       27.1       0
22          1         50818468   1645278   27081092   53.2899   2.01834     26.9       43.4
KI270423.1  1         981        280       792        80.7339   19.6147     28.1       11.6
KI270337.1  1         1121       3827      1114       99.3756   189.716     29.1       14.9
KI270516.1  1         1300       339       1292       99.3846   16.8869     28.2       44.2
KI270329.1  1         1040       259       1011       97.2115   16.7077     28.7       0.162
KI270333.1  1         2699       6914      2668       98.8514   145.549     29.4       14.4
KI270744.1  1         168472     38397     115618     68.6274   14.558      26.7       17.2
KI270518.1  1         2186       478       2104       96.2489   14.4213     28.2       31.2
KI270515.1  1         6361       1375      6278       98.6952   14.1948     28.2       39.9
KI270509.1  1         2318       482       2268       97.843    13.9232     28.2       42.1
KI270510.1  1         2415       504       2409       99.7516   13.8957     28.3       30.6
KI270591.1  1         5796       1327      5629       97.1187   13.8395     28         25.6
KI270590.1  1         4685       984       4664       99.5518   13.7172     28.2       35.6
KI270517.1  1         3253       680       3133       96.3111   13.4387     28.3       40.1
KI270729.1  1         280839     69666     235438     83.8338   13.1692     28.1       15.8
KI270336.1  1         1026       2317      1026       100       126.41      29         15.9
KI270529.1  1         1899       362       1821       95.8926   12.505      27.8       0.453
KI270304.1  1         2165       405       1560       72.0554   12.1848     28         5.23
KI270584.1  1         4513       821       4513       100       12.0246     28.4       42
KI270507.1  1         5353       954       5333       99.6264   11.762      28.3       40.8
GL000224.1  1         179693     32743     171951     95.6915   11.6963     27         13.1
KI270735.1  1         42811      7953      41147      96.1131   11.3891     28.3       26.2
KI270429.1  1         1361       229       1338       98.3101   11.1741     28.5       34.6
KI270736.1  1         181920     44112     151824     83.4565   11.167      27.5       23.2
KI270508.1  1         1951       317       1946       99.7437   10.6694     27.2       30
GL000219.1  1         179198     28147     164663     91.8889   10.225      27.8       37.1
KI270442.1  1         392061     70291     345866     88.2174   10.1897     27.8       29.3
KI270371.1  1         2805       85        1772       63.1729   1.97611     27.9       0.0941
KI270384.1  1         1658       54        773        46.6224   1.95778     28.4       1
KI270544.1  1         1202       37        795        66.1398   1.90433     27.5       5.73
KI270726.1  1         43739      1252      23952      54.7612   1.81529     27.3       25.2
KI270381.1  1         1930       59        1252       64.8705   1.8114      27.4       0.508
KI270372.1  1         1650       47        1206       73.0909   1.74788     28         0
KI270375.1  1         2378       67        1381       58.074    1.71278     28.8       0
KI270731.1  1         150754     4039      87038      57.7351   1.66691     26.8       2.48
KI270322.1  1         21476      519       4541       21.1445   1.54917     27.4       2.19
KI270376.1  1         1136       28        700        61.6197   1.42958     27.7       0
KI270755.1  1         36723      815       20005      54.4754   1.40212     27.3       6.46
GL000213.1  1         164239     3528      88861      54.1047   1.37945     27.7       5.99
KI270424.1  1         2140       51        1272       59.4393   1.32336     28.2       3.63
KI270419.1  1         1029       22        254        24.6842   1.1827      27.8       4.59
KI270414.1  1         2489       48        714        28.6862   1.09883     27.6       6.65
KI270412.1  1         1179       21        255        21.6285   1.02036     27.9       1.52
KI270727.1  1         448248     6403      181967     40.5952   0.902721    27.7       2.98
KI270721.1  1         100316     1407      36403      36.2883   0.814656    24.7       1.98
KI270378.1  1         1048       15        373        35.5916   0.750954    26         15.9
KI270548.1  1         1599       14        347        21.7011   0.487179    27.9       0
KI270317.1  1         37690      226       2289       6.07323   0.357283    27.6       5.95
Y           1         57227415   341664    4052154    7.08079   0.308322    27.3       8.51
KI270539.1  1         993        3         128        12.8902   0.183283    22         0
KI270752.1  1         27745      55        500        1.80213   0.0609119   27.6       13.3
KI270740.1  1         37240      11        123        0.33029   0.00588077  25.9       14.5
