#rname      startpos  endpos     numreads  covbases  coverage   meandepth    meanbaseq  meanmapq
GL000214.1  1         137718     6616      85881     62.36      2.96891      26.8       2.51
KI270732.1  1         41543      1818      32378     77.9385    2.80148      27.8       26.8
KI270757.1  1         71251      3300      44685     62.7149    2.7799       27.8       23.7
KI270315.1  1         2276       100       1546      67.9262    2.77197      27.2       4.07
KI270468.1  1         4055       190       2444      60.2713    2.76523      28.2       21.4
KI270429.1  1         1361       66        1104      81.1168    2.723        27.6       36
KI270448.1  1         7992       332       6234      78.003     2.54204      27.9       30.3
KI270746.1  1         66486      2558      49608     74.6142    2.48976      27.9       31.9
KI270519.1  1         138126     5567      93656     67.8048    2.47052      27.8       33.8
KI270388.1  1         1216       50        714       58.7171    2.45477      27.5       0.42
KI270711.1  1         42210      1610      26905     63.7408    2.41431      27.1       13.5
KI270730.1  1         112551     5672      61232     54.4038    2.40006      27.5       12.9
KI270593.1  1         3041       113       2126      69.9112    2.3512       27.6       33.2
KI270751.1  1         150742     5552      97698     64.8114    2.27268      27.7       17
KI270395.1  1         1143       39        730       63.867     2.21522      27.5       2.05
KI270435.1  1         92983      3267      57343     61.6704    2.13252      27.8       25.9
KI270511.1  1         8127       273       6031      74.2094    2.12772      27.6       32.7
KI270724.1  1         39555      1396      23380     59.1076    2.12575      26.9       22.3
GL000205.2  1         185591     6453      111934    60.3122    2.11603      27.4       37.7
KI270723.1  1         38115      1355      22247     58.3681    2.09757      26.5       20.6
KI270393.1  1         1308       46        690       52.7523    2.04358      28.1       4.24
KI270538.1  1         91309      2927      37810     41.4088    2.00726      27.7       26.1
KI270320.1  1         4416       143       2355      53.3288    2.00068      27         4.17
KI270466.1  1         1233       3968      1233      100        191.57       29.3       34.6
KI270733.1  1         179772     51489     110679    61.5663    17.4598      26.1       19.8
GL000225.1  1         211173     62536     168205    79.6527    16.447       26.9       16.8
KI270330.1  1         1652       397       1409      85.2906    15.1992      27         13.2
KI270709.1  1         66860      15989     48719     72.8672    15.1219      27.8       4.48
KI270438.1  1         112505     25194     69417     61.7013    13.5333      27.6       26.2
KI270340.1  1         1428       294       1324      92.7171    13.0861      27.5       0.136
KI270310.1  1         1201       241       800       66.6112    12.9675      28.1       3.05
KI270334.1  1         1368       234       1254      91.6667    10.989       27.6       0
KI270465.1  1         1774       305       1074      60.5411    10.7909      28.1       23.8
GL000216.2  1         176608     33226     133419    75.5453    10.0643      27.2       12.8
GL000220.1  1         161802     27108     98556     60.9115    10.0588      25.8       1.82
KI270512.1  1         22689      757       13163     58.0149    1.96064      27.7       26.5
KI270588.1  1         6158       193       3718      60.3767    1.95258      28.4       21.8
KI270302.1  1         2274       74        1413      62.1372    1.94151      27.6       1.36
KI270589.1  1         44474      1476      22469     50.5217    1.92728      27.7       13.9
KI270422.1  1         1445       44        645       44.6367    1.90519      27         1.27
KI270522.1  1         5674       190       3283      57.8604    1.86165      27.7       20.3
GL000009.2  1         201709     5856      132720    65.7978    1.84289      27.4       16.3
KI270722.1  1         194050     5677      123281    63.5305    1.83843      27.5       29.7
KI270737.1  1         103838     3622      49867     48.0238    1.8205       27.7       6.01
GL000194.1  1         191469     5422      118708    61.9985    1.78713      27.3       15.3
KI270756.1  1         79590      3085      39732     49.9208    1.73742      27.7       7.71
KI270738.1  1         99375      3397      58233     58.5992    1.736        27.7       24.9
KI270720.1  1         39050      1075      22612     57.9052    1.72269      27.5       23.5
KI270530.1  1         2168       62        959       44.2343    1.71771      26.9       1.45
KI270587.1  1         2969       83        2066      69.5857    1.70293      28.1       19.5
KI270316.1  1         1444       39        459       31.7867    1.5831       28.3       2.1
KI270389.1  1         1298       33        774       59.6302    1.57319      27.2       4.73
KI270713.1  1         40745      1005      21880     53.6998    1.54134      26.7       21.9
KI270742.1  1         186739     4533      106568    57.0679    1.52844      27.5       7.22
GL000208.1  1         92689      2317      52933     57.1082    1.52057      27.7       24
KI270391.1  1         1484       43        445       29.9865    1.50337      28.6       4.37
GL000008.2  1         209709     5325      99180     47.2941    1.48472      27.4       15.9
KI270741.1  1         157432     3853      88782     56.3939    1.4842       27.3       1.75
GL000221.1  1         155397     3479      85563     55.0609    1.41045      27.6       3.15
KI270420.1  1         2321       54        1059      45.6269    1.38647      27.5       8.54
KI270749.1  1         158759     3495      88271     55.6006    1.38196      27.8       17.2
KI270521.1  1         7642       169       3928      51.4002    1.36718      27.4       25.3
KI270710.1  1         40176      866       21292     52.9968    1.35521      28         12.2
KI270387.1  1         1537       35        731       47.5602    1.34808      26.8       0
KI270312.1  1         998        22        303       30.3607    1.34168      28.2       3.64
KI270581.1  1         7046       148       3743      53.1223    1.27746      26.8       0
KI270392.1  1         971        19        357       36.7662    1.19567      27.1       4.89
KI270418.1  1         2145       43        543       25.3147    1.19114      28.2       0.791
KI270366.1  1         8320       161       4410      53.0048    1.17897      28.3       7.09
KI270716.1  1         153799     2924      69775     45.3677    1.17657      27.5       4.93
KI270718.1  1         38054      724       16891     44.3869    1.1716       27.7       5.28
GL000226.1  1         15008      266       6621      44.1165    1.16811      27.4       0.0226
GL000195.1  1         182896     3393      80855     44.2082    1.16133      27.4       20.3
KI270747.1  1         198735     3878      87979     44.2695    1.15435      27.6       2.28
KI270383.1  1         1750       34        877       50.1143    1.14743      27.4       0
KI270745.1  1         41891      762       20708     49.4331    1.14609      26.8       3.59
KI270362.1  1         3530       61        1909      54.0793    1.11331      28.4       14.5
KI270707.1  1         32032      590       14372     44.8676    1.10199      27.2       7.82
KI270386.1  1         1788       33        775       43.3445    1.09843      28.3       0.0606
KI270382.1  1         4215       79        1551      36.7972    1.09348      27.4       0.709
KI270364.1  1         2855       56        1346      47.1454    1.09317      27.9       4.7
KI270417.1  1         2043       39        869       42.5355    1.06755      27.6       43.1
KI270385.1  1         990        17        408       41.2121    1.06061      28.4       6.47
KI270725.1  1         172810     2930      75285     43.5652    1.05547      27.8       11.7
KI270719.1  1         176845     2975      78637     44.4666    1.0496       27.6       12.3
KI270750.1  1         148850     2507      66043     44.3688    1.04694      27.4       21.9
KI270528.1  1         2983       57        1267      42.474     1.04123      27.1       5.11
KI270706.1  1         175055     3003      72266     41.2819    1.03812      27.1       8.49
KI270396.1  1         1880       31        875       46.5426    0.969681     27         2.06
KI270311.1  1         12399      191       1780      14.356     0.949835     27.7       1.52
KI270424.1  1         2140       32        870       40.6542    0.947664     28.2       10.9
KI270708.1  1         127682     2005      52029     40.7489    0.941519     27.3       11.8
KI270363.1  1         1803       30        719       39.878     0.911259     28.3       11.3
KI270715.1  1         161471     2358      62505     38.7097    0.910646     27.5       0.75
KI270390.1  1         2387       34        980       41.0557    0.905739     27.4       0.118
GL000218.1  1         161147     2378      63198     39.2176    0.901649     27.3       8.03
KI270743.1  1         210658     3183      74255     35.2491    0.901333     27         2.16
4           1         190214555  2783423   75698681  39.7965    0.897506     27.6       51.9
10          1         133797422  1933265   51292326  38.3358    0.878148     27.3       49.8
3           1         198295559  2837224   77616904  39.142     0.878032     27.5       52.8
5           1         181538259  2591351   70817243  39.0095    0.875237     27.5       51.3
7           1         159345973  2264186   61863373  38.8233    0.869124     27.4       49.9
6           1         170805979  2408486   66793221  39.1047    0.864785     27.5       52.8
18          1         80373285   1126967   30615002  38.091     0.860237     27.4       50.4
12          1         133275309  1858602   51570997  38.6951    0.852752     27.3       52.3
2           1         242193529  3359838   93242892  38.4993    0.848506     27.4       52.7
20          1         64444167   903959    23997486  37.2376    0.848496     27.1       49.2
KI270753.1  1         62944      870       24154     38.3738    0.845069     27.2       6.6
KI270754.1  1         40191      553       14534     36.1623    0.844244     25.7       6.54
8           1         145138636  1998019   55720887  38.3915    0.842441     27.4       53.4
1           1         248956422  3391591   87899955  35.3074    0.833517     27.3       47.7
X           1         156040895  2113260   59331912  38.0233    0.831688     27.5       50.5
21          1         46709983   633386    15328199  32.8157    0.824766     27.2       40.7
11          1         135086622  1819318   50718415  37.5451    0.822557     27.3       52.3
KI270375.1  1         2378       32        1053      44.2809    0.814971     27.6       0
KI270425.1  1         1884       26        726       38.535     0.806794     27.4       3.88
KI270739.1  1         73985      990       26402     35.6856    0.802014     27.7       6.14
KI270372.1  1         1650       22        652       39.5152    0.8          27.8       0
19          1         58617616   777598    20689675  35.296     0.791606     26.6       46.4
KI270714.1  1         41717      550       14745     35.3453    0.790565     25.8       20
KI270748.1  1         93321      1173      34794     37.2842    0.779224     26.9       1.11
17          1         83257441   1080868   29414710  35.3298    0.778526     26.8       49.4
16          1         90338345   1142362   30397646  33.6487    0.76505      27         47
KI270374.1  1         2656       34        864       32.5301    0.762048     28.1       0
13          1         114364328  1394262   38726640  33.8625    0.749267     27.6       52.9
9           1         138394717  1672979   46613563  33.6816    0.739213     27.3       48.8
14          1         107043718  1242987   34621671  32.3435    0.709533     27.3       52.2
KI270717.1  1         40062      463       13622     34.0023    0.704608     27.7       2.16
15          1         101991189  1157939   31960685  31.3367    0.693062     27.2       49
KI270712.1  1         176043     2016      57509     32.6676    0.680345     27         7.12
KI270384.1  1         1658       19        400       24.1255    0.677322     26.1       0
KI270728.1  1         1872759    20294     589146    31.4587    0.672193     27.3       6.58
KI270579.1  1         31033      348       9643      31.0734    0.668095     27.9       0.356
KI270734.1  1         165050     1882      39664     24.0315    0.658261     26.9       3.43
22          1         50818468   530557    13979368  27.5084    0.626529     26.8       43.2
KI270582.1  1         6504       62        1728      26.5683    0.597325     27.6       2.13
KI270419.1  1         1029       10        202       19.6307    0.581147     26.7       6.6
KI270322.1  1         21476      196       3496      16.2786    0.557366     27.5       2.48
KI270412.1  1         1179       10        175       14.8431    0.547922     29.4       2.2
KI270726.1  1         43739      394       11094     25.3641    0.54089      27.1       27.1
KI270731.1  1         150754     1333      39690     26.3277    0.539349     26.7       2.65
KI270755.1  1         36723      320       9311      25.3547    0.536258     27.3       9.79
KI270379.1  1         1045       8         261       24.9761    0.534928     28         0
KI270414.1  1         2489       24        558       22.4186    0.451989     27.2       3.83
GL000213.1  1         164239     1136      37289     22.7041    0.425447     27.4       6.38
KI270544.1  1         1202       8         239       19.8835    0.419301     26.4       0
KI270376.1  1         1136       9         264       23.2394    0.40581      26         0
KI270394.1  1         970        7         241       24.8454    0.393814     28.5       0
KI270381.1  1         1930       13        439       22.7461    0.369948     27.7       0
KI270371.1  1         2805       16        512       18.2531    0.342959     27.6       0
KI270727.1  1         448248     2087      71192     15.8823    0.28271      27.5       2.57
KI270721.1  1         100316     449       13695     13.6519    0.250169     25         1.64
KI270373.1  1         1451       4         141       9.71744    0.19366      28.2       0
KI270548.1  1         1599       5         208       13.0081    0.171982     27.5       0
KI270378.1  1         1048       2         83        7.91985    0.144084     26.4       12
KI270317.1  1         37690      85        1298      3.44388    0.12425      27.4       3.74
Y           1         57227415   115861    1868003   3.26418    0.101457     27.2       8.51
KI270752.1  1         27745      13        200       0.720851   0.0107407    26         28.7
KI270740.1  1         37240      1         20        0.0537057  0.000537057  23.5       0
KI270539.1  1         993        0         0         0          0            0          0
