#rname      startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
21          1         46709983   13736     862342    1.84616   0.0207605   29.2       43
20          1         64444167   18941     1201322   1.86413   0.0206167   29         50.5
11          1         135086622  39166     2549143   1.88704   0.0205745   29.3       54
13          1         114364328  31853     2110676   1.84557   0.0199945   29.7       54.5
KI270589.1  1         44474      13        829       1.86401   0.0196744   28.8       14.9
19          1         58617616   16369     996035    1.69921   0.0189997   28.3       47.1
9           1         138394717  36909     2414085   1.74435   0.0189355   29.3       50.1
16          1         90338345   24318     1498655   1.65894   0.0187746   28.8       47.2
KI270708.1  1         127682     33        2287      1.79117   0.0186792   29.7       19
KI270728.1  1         1872759    496       32607     1.74112   0.0186591   29.4       8.51
KI270748.1  1         93321      24        1533      1.64272   0.0186239   27.9       6.96
17          1         83257441   22437     1387329   1.66631   0.0184959   28.7       50
KI270734.1  1         165050     48        2208      1.33778   0.018352    28.8       5.79
14          1         107043718  27227     1777704   1.66073   0.0180794   29.3       53.6
15          1         101991189  25117     1623842   1.59214   0.0173593   29.2       50
GL000213.1  1         164239     37        2168      1.32003   0.015313    30         4.38
22          1         50818468   10755     673988    1.32627   0.014652    28.6       43.6
KI270743.1  1         210658     44        2614      1.24087   0.0145544   28.1       1.59
KI270707.1  1         32032      6         435       1.35802   0.0140797   30.4       0.167
KI270755.1  1         36723      6         438       1.19271   0.0123901   29.5       2.33
KI270726.1  1         43739      7         485       1.10885   0.0111342   28.8       20.3
KI270721.1  1         100316     13        904       0.901152  0.00937039  26.6       6
KI270723.1  1         38115      4         299       0.784468  0.00797586  28.8       33.8
KI270727.1  1         448248     40        2983      0.66548   0.00671503  29.3       1.25
KI270317.1  1         37690      2         136       0.360838  0.00374105  30.9       8
Y           1         57227415   1871      81806     0.142949  0.00188953  29.1       8.57
KI270752.1  1         27745      1         39        0.140566  0.00140566  33.6       0
KI270303.1  1         1942       0         0         0         0           0          0
KI270305.1  1         1472       0         0         0         0           0          0
KI270312.1  1         998        0         0         0         0           0          0
KI270315.1  1         2276       0         0         0         0           0          0
KI270316.1  1         1444       0         0         0         0           0          0
KI270329.1  1         1040       0         0         0         0           0          0
KI270338.1  1         1428       0         0         0         0           0          0
KI270362.1  1         3530       0         0         0         0           0          0
KI270363.1  1         1803       0         0         0         0           0          0
KI270364.1  1         2855       0         0         0         0           0          0
KI270366.1  1         8320       0         0         0         0           0          0
KI270374.1  1         2656       0         0         0         0           0          0
KI270376.1  1         1136       0         0         0         0           0          0
KI270378.1  1         1048       0         0         0         0           0          0
KI270379.1  1         1045       0         0         0         0           0          0
KI270381.1  1         1930       0         0         0         0           0          0
KI270383.1  1         1750       0         0         0         0           0          0
KI270384.1  1         1658       0         0         0         0           0          0
KI270385.1  1         990        0         0         0         0           0          0
KI270387.1  1         1537       0         0         0         0           0          0
KI270388.1  1         1216       0         0         0         0           0          0
KI270389.1  1         1298       0         0         0         0           0          0
KI270390.1  1         2387       0         0         0         0           0          0
KI270394.1  1         970        0         0         0         0           0          0
KI270396.1  1         1880       0         0         0         0           0          0
KI270411.1  1         2646       0         0         0         0           0          0
KI270412.1  1         1179       0         0         0         0           0          0
KI270414.1  1         2489       0         0         0         0           0          0
KI270417.1  1         2043       0         0         0         0           0          0
KI270418.1  1         2145       0         0         0         0           0          0
KI270419.1  1         1029       0         0         0         0           0          0
KI270420.1  1         2321       0         0         0         0           0          0
KI270422.1  1         1445       0         0         0         0           0          0
KI270424.1  1         2140       0         0         0         0           0          0
KI270425.1  1         1884       0         0         0         0           0          0
KI270508.1  1         1951       0         0         0         0           0          0
KI270518.1  1         2186       0         0         0         0           0          0
KI270529.1  1         1899       0         0         0         0           0          0
KI270539.1  1         993        0         0         0         0           0          0
KI270544.1  1         1202       0         0         0         0           0          0
KI270548.1  1         1599       0         0         0         0           0          0
KI270580.1  1         1553       0         0         0         0           0          0
KI270740.1  1         37240      0         0         0         0           0          0
