#rname      startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
KI270320.1  1         4416       2         142       3.21558   0.0344203   32.1       4
GL000208.1  1         92689      44        3034      3.27331   0.0343406   29.5       32.1
KI270724.1  1         39555      19        1191      3.011     0.0333965   29.5       32.6
KI270723.1  1         38115      19        1061      2.78368   0.032848    27.2       15.4
KI270713.1  1         40745      18        1229      3.01632   0.0322494   27.7       24.1
KI270719.1  1         176845     83        5273      2.98171   0.0322147   30.3       12.7
KI270707.1  1         32032      14        853       2.66296   0.0320929   29.4       2.14
KI270745.1  1         41891      17        1201      2.86696   0.030269    29.4       2
KI270725.1  1         172810     71        4839      2.80019   0.0300909   30         13.8
KI270717.1  1         40062      16        1157      2.88802   0.0289551   30.1       0
KI270739.1  1         73985      29        1870      2.52754   0.0285328   29.1       11.2
GL000008.2  1         209709     83        5455      2.60122   0.0284919   29.1       17.7
KI270708.1  1         127682     51        3383      2.64955   0.0281872   29.1       17.1
KI270715.1  1         161471     61        4198      2.59985   0.0272061   30.1       0.213
KI270712.1  1         176043     77        3799      2.158     0.0269252   26.8       18.1
KI270748.1  1         93321      35        2405      2.57713   0.0268      29.1       0.686
KI270584.1  1         4513       2         120       2.65899   0.0265899   23.4       17
4           1         190214555  69220     4526108   2.37948   0.0261457   29.7       53.6
KI270716.1  1         153799     53        3801      2.47141   0.0255593   29.6       8.11
5           1         181538259  63564     4148582   2.28524   0.0251297   29.5       53.1
3           1         198295559  69051     4468184   2.2533    0.0249912   29.5       54.5
7           1         159345973  54945     3605017   2.26238   0.0246148   29.4       51.5
10          1         133797422  45955     2927495   2.18801   0.0243597   29.3       51.1
6           1         170805979  57971     3844242   2.25065   0.0243586   29.5       54.8
18          1         80373285   27135     1786325   2.22254   0.0243249   29.4       51.8
2           1         242193529  80760     5305221   2.19049   0.0238316   29.4       54.2
8           1         145138636  47997     3176965   2.18892   0.0237015   29.4       54.9
12          1         133275309  44242     2917670   2.18921   0.0236931   29.3       54.1
1           1         248956422  82438     4989054   2.00399   0.0236578   29.3       48.1
KI270582.1  1         6504       2         152       2.33702   0.0233702   29.2       0
X           1         156040895  50231     3344515   2.14336   0.0231442   29.5       52.7
21          1         46709983   14967     947050    2.02751   0.0227908   29.2       43.3
KI270706.1  1         175055     57        3632      2.07478   0.0226786   28.5       17.2
KI270750.1  1         148850     48        3132      2.10413   0.0225529   28.2       22.6
KI270753.1  1         62944      20        1228      1.95094   0.0225121   28.4       9.8
20          1         64444167   20505     1309314   2.0317    0.0224727   28.9       49.8
11          1         135086622  41998     2773175   2.05289   0.0222024   29.2       53.9
KI270579.1  1         31033      9         408       1.31473   0.0220411   31.3       0
KI270747.1  1         198735     63        3941      1.98304   0.0216167   29.5       3.57
13          1         114364328  33927     2258834   1.97512   0.0213717   29.6       54.6
16          1         90338345   26785     1665139   1.84323   0.0208032   28.9       47.6
17          1         83257441   24929     1562373   1.87656   0.0207879   28.7       50.5
9           1         138394717  40182     2653357   1.91724   0.0207602   29.3       50.3
19          1         58617616   17561     1078821   1.84044   0.0205321   28.4       47.8
14          1         107043718  29897     1967280   1.83783   0.0199796   29.3       53.7
KI270728.1  1         1872759    519       34099     1.82079   0.0195546   29         7.7
KI270743.1  1         210658     58        3715      1.76352   0.0195055   29.7       3.24
15          1         101991189  27344     1778751   1.74402   0.0190516   29.2       49.7
GL000218.1  1         161147     43        2581      1.60164   0.018511    29.2       13.3
KI270468.1  1         4055       2         38        0.937115  0.0184957   33.1       0
KI270734.1  1         165050     49        2217      1.34323   0.0184732   29.5       11.6
KI270754.1  1         40191      10        635       1.57996   0.0175661   26.6       12
KI270714.1  1         41717      9         677       1.62284   0.0163962   27.3       13.4
22          1         50818468   11806     749066    1.474     0.0162377   28.6       44.2
KI270302.1  1         2274       1         32        1.40721   0.0140721   28.8       0
KI270726.1  1         43739      8         496       1.134     0.0129404   27.4       34
KI270311.1  1         12399      2         152       1.22591   0.0122591   25.5       0
GL000213.1  1         164239     26        1724      1.04969   0.0117877   29         5.38
KI270718.1  1         38054      5         380       0.998581  0.00998581  31.9       0
KI270755.1  1         36723      4         296       0.806034  0.00827819  28.4       13.5
KI270731.1  1         150754     16        1059      0.702469  0.00806612  31.1       9.12
KI270721.1  1         100316     10        644       0.641971  0.00703776  25.9       0
KI270322.1  1         21476      2         138       0.642578  0.00661203  30.5       0
KI270727.1  1         448248     40        2449      0.546349  0.00629339  28.9       2.5
Y           1         57227415   2047      90164     0.157554  0.00208751  29.2       8.58
KI270303.1  1         1942       0         0         0         0           0          0
KI270305.1  1         1472       0         0         0         0           0          0
KI270312.1  1         998        0         0         0         0           0          0
KI270316.1  1         1444       0         0         0         0           0          0
KI270317.1  1         37690      0         0         0         0           0          0
KI270329.1  1         1040       0         0         0         0           0          0
KI270334.1  1         1368       0         0         0         0           0          0
KI270335.1  1         1048       0         0         0         0           0          0
KI270362.1  1         3530       0         0         0         0           0          0
KI270363.1  1         1803       0         0         0         0           0          0
KI270364.1  1         2855       0         0         0         0           0          0
KI270371.1  1         2805       0         0         0         0           0          0
KI270372.1  1         1650       0         0         0         0           0          0
KI270373.1  1         1451       0         0         0         0           0          0
KI270376.1  1         1136       0         0         0         0           0          0
KI270378.1  1         1048       0         0         0         0           0          0
KI270379.1  1         1045       0         0         0         0           0          0
KI270381.1  1         1930       0         0         0         0           0          0
KI270384.1  1         1658       0         0         0         0           0          0
KI270385.1  1         990        0         0         0         0           0          0
KI270388.1  1         1216       0         0         0         0           0          0
KI270389.1  1         1298       0         0         0         0           0          0
KI270390.1  1         2387       0         0         0         0           0          0
KI270391.1  1         1484       0         0         0         0           0          0
KI270392.1  1         971        0         0         0         0           0          0
KI270393.1  1         1308       0         0         0         0           0          0
KI270394.1  1         970        0         0         0         0           0          0
KI270395.1  1         1143       0         0         0         0           0          0
KI270412.1  1         1179       0         0         0         0           0          0
KI270414.1  1         2489       0         0         0         0           0          0
KI270418.1  1         2145       0         0         0         0           0          0
KI270419.1  1         1029       0         0         0         0           0          0
KI270420.1  1         2321       0         0         0         0           0          0
KI270422.1  1         1445       0         0         0         0           0          0
KI270424.1  1         2140       0         0         0         0           0          0
KI270425.1  1         1884       0         0         0         0           0          0
KI270429.1  1         1361       0         0         0         0           0          0
KI270516.1  1         1300       0         0         0         0           0          0
KI270522.1  1         5674       0         0         0         0           0          0
KI270539.1  1         993        0         0         0         0           0          0
KI270544.1  1         1202       0         0         0         0           0          0
KI270548.1  1         1599       0         0         0         0           0          0
KI270593.1  1         3041       0         0         0         0           0          0
KI270740.1  1         37240      0         0         0         0           0          0
KI270752.1  1         27745      0         0         0         0           0          0
